alpha,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,slope9,slope10
0.1,0.428460955151061,0.502504113710342,0.552996385417996,0.376255859538534,0.011407691454984,NaN,0.459418772062936,NaN,0.391115963938911,NaN
0.2,0.573590476667642,NaN,NaN,0.619306939212600,0.501833568861019,0.605273290309890,NaN,0.759457832864797,0.555828534079838,0.506494065792643
0.3,0.697817456414526,0.691548613421495,0.649356995342380,0.639562811186035,0.688666298826860,0.669191093333834,0.486638175513246,0.593515729129122,0.662374687623989,0.734891138953441
0.4,0.700103486975078,0.707290404538471,0.678614947586502,0.736416489389900,0.661353842782789,0.061387243610666,0.631210757551939,0.620300441055329,0.693281423224372,0.709883026157651
0.5,0.762697096374877,0.753718794770257,0.729436024472757,0.744730367680922,0.759740328953341,0.740168129362779,0.699428495860208,0.713367357963616,0.784038573534146,0.756707026405910
0.6,0.794375887780947,0.793079831241186,0.845143462543608,0.778162307061491,0.808633288327581,0.829634593968046,0.787671710001052,0.824522755336132,0.816216222838029,0.757650102133023
0.7,0.827464051656827,0.821425780683791,0.842635011630435,0.815000687577564,0.850583609788619,0.843207591701883,0.831571222943266,0.847944830801099,0.825072467979679,0.864441964880323
0.8,0.866551796588248,0.884386764008445,0.886024743853864,0.864548120258957,0.856952264342827,0.860061471109606,0.910216702895253,0.859494644627848,0.878403606830090,0.855542963436352
0.9,0.882605191023656,0.889527561091420,0.886671481348602,0.868910424693218,0.897722353481036,0.894677529229322,0.906748206900828,0.906188504683967,0.895106447768096,0.877567623195132
1.0,0.894218010742527,0.881707053182116,0.886839315957168,0.874287195213015,0.888237165980614,0.896420044488372,0.889644846163170,0.902734742396139,0.874154692663709,0.889802612502867
1.1,0.879249832826301,0.891981433293867,0.883018610911918,0.886120563262712,0.871106501679656,0.890530142909977,0.880048277159596,0.871462572277946,0.880738316824176,0.889976875246217
1.2,0.848151163201409,0.848795441757351,0.869255557865460,0.841809998062068,0.861821148158968,0.840303145532195,0.848279629327206,0.844101468627364,0.862934324200191,0.851084238563059
1.3,0.775516299377444,0.841972309894123,0.856726115564981,0.817589586088527,0.826084545732290,0.830407262458714,0.819901720763160,0.815435362575387,0.803225097246685,0.843271181853928
