16,0.301897
20,0.350427
25,0.411232
32,0.495995
40,0.591322
50,0.708544
64,0.868058
80,1.04649
100,1.26202
125,1.52317
128,1.55557
160,1.87848
200,2.2708
250,2.74326
256,2.79964
320,3.38112
400,4.07968
500,4.93141
625,5.96431
640,6.08155
800,7.3576
1000,8.90246
1250,10.7585
1280,10.9907
1600,13.2744
2000,16.0422
2500,19.3852
3125,23.5343
3200,23.9883
4000,29.1145
5000,35.1471
6250,42.7347
6400,43.4673
8000,52.4648
10000,63.8406
12500,77.6675
15625,94.1518
16000,96.1044
20000,115.25
25000,139.78
31250,170.982
32000,174.097
40000,209.343
50000,256.337
62500,309.942
78125,379.68
80000,382.048
100000,454.027
125000,556.827
156250,627.227
160000,672.615
200000,806.748
250000,947.736
312500,1148.12
390625,1364.39
400000,1385.91
500000,1720.8
625000,1966.88
781250,2251.48
800000,2255.78
