16,0.00186556
20,0.00213523
25,0.00250838
32,0.00303069
40,0.00350649
50,0.0040266
64,0.0047646
80,0.00567249
100,0.00638091
125,0.00720585
128,0.00738002
160,0.00903739
200,0.0105646
250,0.0122005
256,0.0129218
320,0.0148906
400,0.0172083
500,0.0194631
625,0.0228034
640,0.0247397
800,0.0278106
1000,0.0331041
1250,0.0373786
1280,0.0377863
1600,0.0424176
2000,0.0518468
2500,0.0602578
3125,0.0746901
3200,0.076174
4000,0.0794916
5000,0.0995628
6250,0.111681
6400,0.117624
8000,0.141273
10000,0.187626
12500,0.213942
15625,0.234176
16000,0.244601
20000,0.291186
25000,0.318931
31250,0.4005
32000,0.370514
40000,0.389263
50000,0.422715
62500,0.564039
78125,0.608327
80000,0.525515
100000,0.593195
125000,0.84725
156250,1.10519
160000,0.92656
200000,0.803053
250000,1.44709
312500,1.49753
390625,1.96753
400000,1.17297
500000,2.38207
625000,2.59314
781250,3.13591
800000,2.77731
