16,0.300096
20,0.318288
25,0.340559
32,0.370826
40,0.403875
50,0.443073
64,0.494293
80,0.548383
100,0.610782
125,0.681948
128,0.690373
160,0.772952
200,0.865044
250,0.968713
256,0.982143
320,1.1012
400,1.23558
500,1.38683
625,1.55505
640,1.57529
800,1.76595
1000,1.98146
1250,2.22447
1280,2.25115
1600,2.51564
2000,2.82899
2500,3.15863
3125,3.54377
3200,3.58577
4000,4.02163
5000,4.49586
6250,5.03346
6400,5.08926
8000,5.70293
10000,6.3616
12500,7.09293
15625,7.99407
16000,8.02222
20000,9.01587
25000,10.055
31250,11.2588
32000,11.3153
40000,12.5559
50000,14.1644
62500,15.7415
78125,17.6893
80000,17.9054
100000,20.079
125000,22.4551
156250,24.9766
160000,25.6886
200000,28.7055
250000,32.2584
312500,36.0551
390625,40.2778
400000,40.0013
500000,44.9683
625000,51.4294
781250,55.5149
800000,55.9916
