16,0.322943
20,0.350571
25,0.384566
32,0.430986
40,0.481954
50,0.542571
64,0.621772
80,0.705514
100,0.802515
125,0.912781
128,0.92607
160,1.0533
200,1.19891
250,1.36416
256,1.38248
320,1.57085
400,1.78291
500,2.02439
625,2.29315
640,2.32248
800,2.63137
1000,2.972
1250,3.36397
1280,3.40451
1600,3.84265
2000,4.31768
2500,4.88389
3125,5.49094
3200,5.54743
4000,6.26193
5000,7.02241
6250,7.94382
6400,8.08244
8000,8.99266
10000,10.1451
12500,11.3432
15625,12.778
16000,12.9707
20000,14.4609
25000,16.1981
31250,18.0961
32000,18.414
40000,20.5113
50000,23.0764
62500,25.5159
78125,28.9089
80000,29.0777
100000,32.5032
125000,36.7589
156250,41.515
160000,41.5741
200000,46.4921
250000,52.1613
312500,58.2511
390625,64.4879
400000,66.1659
500000,73.9532
625000,82.934
781250,89.3164
800000,91.5923
