16,0.313116
20,0.336521
25,0.365393
32,0.404557
40,0.447527
50,0.498406
64,0.564838
80,0.63539
100,0.716015
125,0.808806
128,0.819397
160,0.926147
200,1.047
250,1.18385
256,1.19883
320,1.35402
400,1.52761
500,1.72366
625,1.94594
640,1.96955
800,2.21743
1000,2.49616
1250,2.81164
1280,2.84528
1600,3.19169
2000,3.58929
2500,4.03736
3125,4.52906
3200,4.58664
4000,5.17251
5000,5.75603
6250,6.48023
6400,6.59166
8000,7.38589
10000,8.27856
12500,9.26877
15625,10.285
16000,10.4375
20000,11.7569
25000,13.0916
31250,14.8346
32000,14.9078
40000,16.6719
50000,18.6693
62500,20.8911
78125,23.4438
80000,23.5871
100000,26.8157
125000,30.0323
156250,33.4438
160000,33.8599
200000,37.7163
250000,41.4705
312500,46.8463
390625,52.5321
400000,53.6617
500000,57.8867
625000,67.2383
781250,73.4815
800000,74.3865
